case_id,customer_id,customer_name,invoice_id,case_open_date,amount_due,days_overdue,priority,status,assigned_to,collector_id,collection_strategy,last_action_date,next_action_date,resolution_date,notes
CASE000310,CUST000232,L&T Telecom Limited,INV0002314,2024-12-03,86965.73,144,Critical,In Progress,Priya Mishra,REP000031,Settlement Offer,2025-01-26,2025-05-06,,
CASE000311,CUST000233,ICICI Telecom Limited,INV0002325,2024-12-18,637948.97,126,Critical,Escalated,Pooja Gupta,REP000013,Legal Action Warning,2025-01-19,2025-04-20,,
CASE000312,CUST000234,SBI Telecom Limited,INV0002332,2025-01-12,222125.71,109,Critical,Pending Customer,Rajesh Gupta,REP000009,Legal Action Warning,2025-03-04,2025-04-20,,
CASE000313,CUST000236,Bajaj Telecom Limited,INV0002352,2025-03-20,858246.47,41,High,In Progress,Priya Gupta,REP000011,Standard Follow-up,2025-04-05,2025-05-01,,
CASE000314,CUST000236,Bajaj Telecom Limited,INV0002354,2025-04-17,1485173.83,8,Critical,In Progress,Sanjay Joshi,REP000047,Standard Follow-up,2025-04-17,2025-05-05,,
CASE000315,CUST000238,Hindustan Telecom Limited,INV0002373,2025-04-03,480043.87,25,Medium,In Progress,Sunita Mishra,REP000035,Standard Follow-up,2025-04-12,2025-05-03,,
CASE000316,CUST000238,Hindustan Telecom Limited,INV0002376,2025-02-12,691608.07,70,High,In Progress,Rakesh Mishra,REP000028,Intensive Collection,2025-03-28,2025-04-30,,
CASE000317,CUST000239,Indian Telecom Limited,INV0002383,2025-03-14,781599.29,44,High,Open,Amit Mishra,REP000022,Standard Follow-up,2025-04-14,2025-05-04,,
CASE000319,CUST000241,Tata Software Limited,INV0002401,2025-02-14,418423.76,74,High,In Progress,Sunita Gupta,REP000015,Payment Plan,2025-04-06,2025-04-29,,
CASE000320,CUST000241,Tata Software Limited,INV0002403,2024-12-13,64659.68,136,Critical,In Progress,Amit Gupta,REP000002,Legal Action Warning,2025-01-29,2025-05-02,,
CASE000321,CUST000243,Infosys Software Limited,INV0002423,2025-03-02,53994.21,57,Medium,Open,Kavita Gupta,REP000018,Standard Follow-up,2025-04-05,2025-04-22,,
CASE000322,CUST000243,Infosys Software Limited,INV0002425,2024-12-19,17840.51,127,Critical,Escalated,Amit Mishra,REP000022,Legal Action Warning,2025-03-04,2025-04-28,,
CASE000323,CUST000243,Infosys Software Limited,INV0002427,2025-04-10,23930.68,13,Low,Open,Rahul Gupta,REP000006,Standard Follow-up,2025-04-16,2025-05-04,,
CASE000324,CUST000246,Wipro Software Limited,INV0002452,2024-12-09,104250.63,139,Critical,In Progress,Rakesh Mishra,REP000028,Legal Action Warning,2025-02-07,2025-05-04,,
CASE000325,CUST000246,Wipro Software Limited,INV0002453,2025-02-14,70698.01,76,High,Pending Customer,Pooja Mishra,REP000033,Intensive Collection,2025-04-15,2025-04-21,,
CASE000326,CUST000246,Wipro Software Limited,INV0002455,2025-01-20,78693.93,99,Critical,In Progress,Vijay Gupta,REP000003,Settlement Offer,2025-02-03,2025-05-05,,
CASE000327,CUST000246,Wipro Software Limited,INV0002456,2025-03-08,74462.19,50,Medium,Open,Sanjay Joshi,REP000047,Standard Follow-up,2025-04-05,2025-04-20,,
CASE000328,CUST000247,Mahindra Software Limited,INV0002461,2025-03-23,292021.39,36,Medium,In Progress,Amit Joshi,REP000042,Standard Follow-up,2025-04-17,2025-04-24,,
CASE000329,CUST000250,JSW Software Limited,INV0002495,2024-12-31,40328.88,118,Critical,Pending Customer,Anil Mishra,REP000025,Legal Action Warning,2025-01-23,2025-04-21,,
CASE000330,CUST000250,JSW Software Limited,INV0002496,2025-02-13,97992.78,76,High,Pending Customer,Vijay Joshi,REP000043,Intensive Collection,2025-03-29,2025-05-06,,
CASE000331,CUST000250,JSW Software Limited,INV0002497,2025-04-17,56213.08,10,Low,Open,Sunil Mishra,REP000024,Standard Follow-up,2025-04-17,2025-04-21,,
CASE000332,CUST000251,Godrej Software Limited,INV0002501,2025-03-14,339987.29,43,Medium,Open,Anita Mishra,REP000036,Standard Follow-up,2025-04-17,2025-05-04,,
CASE000333,CUST000251,Godrej Software Limited,INV0002505,2025-02-26,280319.46,56,Medium,Open,Rajesh Joshi,REP000049,Standard Follow-up,2025-03-27,2025-05-03,,
CASE000334,CUST000253,ICICI Software Limited,INV0002522,2025-04-13,57179.74,16,Low,Open,Kavita Mishra,REP000038,Standard Follow-up,2025-04-15,2025-05-01,,
CASE000335,CUST000254,SBI Software Limited,INV0002531,2025-04-14,489091.04,18,Medium,Open,Raj Mishra,REP000021,Standard Follow-up,2025-04-16,2025-05-07,,
CASE000336,CUST000254,SBI Software Limited,INV0002532,2025-03-11,388175.64,52,Medium,In Progress,Anita Mishra,REP000036,Standard Follow-up,2025-03-26,2025-04-29,,
CASE000337,CUST000255,TCS Software Limited,INV0002541,2024-12-16,29255.52,136,Critical,Escalated,Rahul Joshi,REP000046,Legal Action Warning,2025-01-24,2025-04-28,,
CASE000338,CUST000256,Bajaj Software Limited,INV0002551,2025-03-09,67344.11,47,Medium,Open,Rahul Joshi,REP000046,Standard Follow-up,2025-03-21,2025-04-25,,
CASE000339,CUST000256,Bajaj Software Limited,INV0002552,2025-03-15,29404.04,43,Medium,Open,Rajesh Mishra,REP000029,Standard Follow-up,2025-03-17,2025-04-22,,
CASE000340,CUST000256,Bajaj Software Limited,INV0002553,2024-11-10,117288.73,164,Critical,Pending Customer,Ashok Joshi,REP000050,Settlement Offer,2024-12-24,2025-05-02,,
CASE000341,CUST000256,Bajaj Software Limited,INV0002556,2025-03-11,89603.36,49,Medium,In Progress,Vijay Mishra,REP000023,Standard Follow-up,2025-03-16,2025-04-29,,
CASE000342,CUST000256,Bajaj Software Limited,INV0002557,2025-02-23,101476.46,67,High,In Progress,Ashok Gupta,REP000010,Payment Plan,2025-03-14,2025-04-28,,
CASE000343,CUST000257,HCL Software Limited,INV0002562,2025-04-04,2198913.22,27,Critical,Open,Rakesh Mishra,REP000028,Standard Follow-up,2025-04-10,2025-05-05,,
CASE000344,CUST000258,Hindustan Software Limited,INV0002574,2025-02-02,375268.25,86,High,Pending Customer,Rakesh Gupta,REP000008,Payment Plan,2025-02-02,2025-04-26,,
CASE000345,CUST000260,Tech Software Limited,INV0002591,2024-12-28,72334.64,122,Critical,In Progress,Rajesh Mishra,REP000029,Legal Action Warning,2025-04-10,2025-04-27,,
CASE000346,CUST000261,Tata Hardware Limited,INV0002602,2024-12-17,106291.20,133,Critical,Pending Customer,Neha Mishra,REP000032,Legal Action Warning,2025-03-11,2025-05-07,,
CASE000347,CUST000261,Tata Hardware Limited,INV0002606,2024-12-27,17336.84,120,Critical,Pending Customer,Amit Mishra,REP000022,Settlement Offer,2025-01-25,2025-04-23,,
CASE000348,CUST000263,Infosys Hardware Limited,INV0002625,2025-03-01,2127251.67,54,Critical,Open,Rakesh Gupta,REP000008,Standard Follow-up,2025-03-03,2025-05-09,,
CASE000349,CUST000265,HDFC Hardware Limited,INV0002644,2025-01-10,83709.66,107,Critical,Pending Customer,Sanjay Gupta,REP000007,Settlement Offer,2025-04-14,2025-04-24,,
CASE000350,CUST000266,Wipro Hardware Limited,INV0002653,2025-04-02,58389.66,22,Low,Open,Rakesh Joshi,REP000048,Standard Follow-up,2025-04-05,2025-04-28,,
CASE000351,CUST000268,Birla Hardware Limited,INV0002671,2025-02-27,1261277.61,55,Critical,Open,Vijay Joshi,REP000043,Standard Follow-up,2025-03-17,2025-04-22,,
CASE000352,CUST000269,Adani Hardware Limited,INV0002682,2025-02-13,66939.50,72,High,In Progress,Sunita Gupta,REP000015,Intensive Collection,2025-04-07,2025-04-29,,
CASE000353,CUST000269,Adani Hardware Limited,INV0002683,2025-02-20,430504.86,66,High,In Progress,Priya Gupta,REP000011,Intensive Collection,2025-04-15,2025-05-02,,
CASE000354,CUST000270,JSW Hardware Limited,INV0002691,2025-04-17,74603.20,5,Low,Open,Sanjay Joshi,REP000047,Standard Follow-up,2025-04-17,2025-05-06,,
CASE000355,CUST000270,JSW Hardware Limited,INV0002693,2025-03-31,43435.94,28,Low,Open,Anil Mishra,REP000025,Standard Follow-up,2025-04-07,2025-04-25,,
CASE000356,CUST000271,Godrej Hardware Limited,INV0002702,2024-12-31,277369.51,119,Critical,Pending Customer,Ashok Gupta,REP000010,Legal Action Warning,2025-02-17,2025-04-24,,
CASE000357,CUST000271,Godrej Hardware Limited,INV0002704,2025-01-11,350901.93,109,Critical,Pending Customer,Raj Gupta,REP000001,Legal Action Warning,2025-02-20,2025-04-22,,
CASE000358,CUST000272,L&T Hardware Limited,INV0002712,2025-04-11,269486.57,16,Medium,Open,Neha Mishra,REP000032,Standard Follow-up,2025-04-11,2025-04-21,,
CASE000359,CUST000272,L&T Hardware Limited,INV0002713,2025-02-08,416898.28,75,High,In Progress,Anita Gupta,REP000016,Payment Plan,2025-02-10,2025-04-30,,
CASE000360,CUST000272,L&T Hardware Limited,INV0002714,2024-12-03,557726.07,146,Critical,Escalated,Sunita Mishra,REP000035,Settlement Offer,2024-12-05,2025-04-20,,
CASE000361,CUST000274,SBI Hardware Limited,INV0002731,2025-02-02,935885.00,86,High,In Progress,Rahul Gupta,REP000006,Payment Plan,2025-04-16,2025-04-28,,
CASE000362,CUST000276,Bajaj Hardware Limited,INV0002753,2025-03-17,2048335.49,45,Critical,Open,Sunil Joshi,REP000044,Standard Follow-up,2025-04-17,2025-04-25,,
CASE000363,CUST000277,HCL Hardware Limited,INV0002764,2025-02-24,72318.02,66,High,Open,Rajesh Mishra,REP000029,Payment Plan,2025-03-13,2025-04-22,,
CASE000364,CUST000277,HCL Hardware Limited,INV0002766,2025-04-07,72235.78,16,Low,In Progress,Meena Gupta,REP000017,Standard Follow-up,2025-04-11,2025-05-04,,
CASE000365,CUST000277,HCL Hardware Limited,INV0002767,2025-02-13,113615.96,70,High,In Progress,Rajesh Gupta,REP000009,Payment Plan,2025-03-26,2025-04-25,,
CASE000366,CUST000278,Hindustan Hardware Limited,INV0002771,2025-04-05,1409180.54,26,Critical,In Progress,Amit Joshi,REP000042,Standard Follow-up,2025-04-12,2025-04-22,,
CASE000367,CUST000279,Indian Hardware Limited,INV0002783,2025-01-31,376914.93,89,High,In Progress,Raj Mishra,REP000021,Intensive Collection,2025-03-17,2025-05-06,,
CASE000368,CUST000281,Tata Food Limited,INV0002803,2025-01-17,430849.44,96,Critical,In Progress,Meena Mishra,REP000037,Settlement Offer,2025-03-16,2025-05-08,,
CASE000369,CUST000282,Reliance Food Limited,INV0002811,2024-12-26,39765.47,120,Critical,Pending Customer,Sanjay Gupta,REP000007,Settlement Offer,2025-03-24,2025-05-06,,
CASE000370,CUST000282,Reliance Food Limited,INV0002812,2025-03-19,85539.73,39,Medium,Open,Anil Gupta,REP000005,Standard Follow-up,2025-04-12,2025-04-29,,
CASE000371,CUST000282,Reliance Food Limited,INV0002814,2025-03-19,20725.20,37,Medium,In Progress,Amit Gupta,REP000002,Standard Follow-up,2025-03-23,2025-04-20,,
CASE000372,CUST000282,Reliance Food Limited,INV0002816,2025-03-19,87085.89,43,Medium,Open,Kavita Mishra,REP000038,Standard Follow-up,2025-03-23,2025-05-05,,
CASE000373,CUST000283,Infosys Food Limited,INV0002824,2025-04-02,97922.91,26,Low,Open,Shalini Mishra,REP000039,Standard Follow-up,2025-04-03,2025-04-24,,
CASE000374,CUST000285,HDFC Food Limited,INV0002843,2025-01-07,38799.91,111,Critical,Escalated,Rajesh Mishra,REP000029,Legal Action Warning,2025-02-17,2025-05-09,,
CASE000375,CUST000285,HDFC Food Limited,INV0002845,2025-03-02,89815.13,58,Medium,Open,Anil Mishra,REP000025,Standard Follow-up,2025-03-31,2025-04-19,,
CASE000376,CUST000287,Mahindra Food Limited,INV0002861,2025-02-16,823950.91,73,High,In Progress,Vijay Joshi,REP000043,Payment Plan,2025-02-25,2025-04-28,,
CASE000377,CUST000287,Mahindra Food Limited,INV0002862,2025-01-13,1333112.00,107,Critical,In Progress,Sunita Mishra,REP000035,Legal Action Warning,2025-02-22,2025-05-02,,
CASE000378,CUST000287,Mahindra Food Limited,INV0002864,2025-04-13,1142804.72,19,Critical,In Progress,Ashok Mishra,REP000030,Standard Follow-up,2025-04-14,2025-05-07,,
CASE000379,CUST000288,Birla Food Limited,INV0002874,2025-03-31,327671.88,25,Medium,In Progress,Rakesh Mishra,REP000028,Standard Follow-up,2025-04-16,2025-05-03,,
CASE000380,CUST000289,Adani Food Limited,INV0002881,2025-04-15,79832.40,13,Low,Open,Amit Joshi,REP000042,Standard Follow-up,2025-04-16,2025-05-07,,
CASE000381,CUST000289,Adani Food Limited,INV0002884,2025-04-09,87162.88,21,Low,Open,Raj Mishra,REP000021,Standard Follow-up,2025-04-10,2025-04-29,,
CASE000382,CUST000289,Adani Food Limited,INV0002886,2025-03-18,94171.00,45,Medium,Open,Sanjay Mishra,REP000027,Standard Follow-up,2025-03-25,2025-04-25,,
CASE000383,CUST000292,L&T Food Limited,INV0002912,2025-04-15,168605.53,14,Medium,Open,Amit Mishra,REP000022,Standard Follow-up,2025-04-16,2025-04-19,,
CASE000384,CUST000293,ICICI Food Limited,INV0002921,2025-04-01,200294.19,27,Medium,Open,Shalini Mishra,REP000039,Standard Follow-up,2025-04-17,2025-05-09,,
CASE000385,CUST000293,ICICI Food Limited,INV0002923,2025-02-11,462924.35,79,High,Pending Customer,Shalini Gupta,REP000019,Intensive Collection,2025-02-25,2025-04-29,,
CASE000386,CUST000293,ICICI Food Limited,INV0002924,2025-01-10,416403.04,103,Critical,In Progress,Shalini Gupta,REP000019,Settlement Offer,2025-01-27,2025-05-06,,
CASE000387,CUST000294,SBI Food Limited,INV0002931,2025-02-15,434217.00,76,High,In Progress,Sunil Joshi,REP000044,Payment Plan,2025-02-19,2025-04-26,,
CASE000388,CUST000295,TCS Food Limited,INV0002942,2025-04-04,219121.23,27,Medium,Open,Neha Gupta,REP000012,Standard Follow-up,2025-04-11,2025-05-03,,
CASE000389,CUST000296,Bajaj Food Limited,INV0002952,2024-11-30,564533.15,147,Critical,In Progress,Pooja Mishra,REP000033,Legal Action Warning,2025-04-05,2025-04-27,,
CASE000390,CUST000296,Bajaj Food Limited,INV0002955,2024-12-31,367357.61,121,Critical,In Progress,Ashok Gupta,REP000010,Legal Action Warning,2025-02-09,2025-05-07,,
CASE000391,CUST000297,HCL Food Limited,INV0002962,2025-03-03,21536.35,51,Medium,Open,Rani Gupta,REP000014,Standard Follow-up,2025-04-10,2025-05-01,,
CASE000392,CUST000297,HCL Food Limited,INV0002963,2025-02-11,109288.25,72,High,In Progress,Amit Mishra,REP000022,Intensive Collection,2025-04-17,2025-05-05,,
CASE000393,CUST000298,Hindustan Food Limited,INV0002971,2025-03-29,53309.78,29,Low,Open,Rani Mishra,REP000034,Standard Follow-up,2025-04-16,2025-04-25,,
CASE000394,CUST000298,Hindustan Food Limited,INV0002975,2025-01-03,31222.25,116,Critical,Escalated,Raj Joshi,REP000041,Settlement Offer,2025-01-23,2025-04-22,,
CASE000396,CUST000299,Indian Food Limited,INV0002986,2024-11-16,76693.34,167,Critical,Pending Customer,Kavita Gupta,REP000018,Legal Action Warning,2025-01-28,2025-04-22,,
CASE000397,CUST000300,Tech Food Limited,INV0002993,2024-12-28,445535.87,122,Critical,Pending Customer,Anil Mishra,REP000025,Legal Action Warning,2025-02-11,2025-04-29,,
CASE000398,CUST000300,Tech Food Limited,INV0002994,2025-01-31,496560.62,84,High,In Progress,Anil Mishra,REP000025,Payment Plan,2025-02-23,2025-05-08,,
CASE000399,CUST000302,Reliance Agro Limited,INV0003013,2024-12-17,34881.32,133,Critical,Escalated,Rakesh Mishra,REP000028,Legal Action Warning,2025-03-29,2025-05-01,,
CASE000400,CUST000302,Reliance Agro Limited,INV0003014,2024-12-15,20657.39,136,Critical,Pending Customer,Neha Gupta,REP000012,Settlement Offer,2025-04-17,2025-04-23,,
CASE000401,CUST000302,Reliance Agro Limited,INV0003016,2025-02-15,18370.36,75,High,Pending Customer,Priya Gupta,REP000011,Payment Plan,2025-03-08,2025-04-19,,
CASE000402,CUST000303,Infosys Agro Limited,INV0003022,2025-02-11,572625.86,73,High,In Progress,Vijay Mishra,REP000023,Intensive Collection,2025-02-21,2025-04-24,,
CASE000403,CUST000305,HDFC Agro Limited,INV0003041,2025-04-07,334153.80,21,Medium,Open,Pooja Mishra,REP000033,Standard Follow-up,2025-04-11,2025-05-08,,
CASE000404,CUST000306,Wipro Agro Limited,INV0003053,2025-02-25,115859.14,62,High,Pending Customer,Pooja Mishra,REP000033,Intensive Collection,2025-04-03,2025-04-19,,
CASE000405,CUST000308,Birla Agro Limited,INV0003072,2024-12-06,28341.00,145,Critical,In Progress,Shalini Mishra,REP000039,Legal Action Warning,2025-03-21,2025-04-27,,
CASE000406,CUST000309,Adani Agro Limited,INV0003081,2025-01-03,392130.69,113,Critical,Escalated,Sunita Mishra,REP000035,Legal Action Warning,2025-03-31,2025-04-25,,
CASE000407,CUST000309,Adani Agro Limited,INV0003084,2025-03-18,186833.25,42,Medium,Open,Priya Mishra,REP000031,Standard Follow-up,2025-04-17,2025-05-04,,
CASE000408,CUST000313,ICICI Agro Limited,INV0003122,2024-12-03,269362.77,149,Critical,Escalated,Sunil Joshi,REP000044,Legal Action Warning,2025-01-26,2025-04-24,,
CASE000409,CUST000313,ICICI Agro Limited,INV0003123,2025-04-07,426319.16,19,Medium,Open,Meena Gupta,REP000017,Standard Follow-up,2025-04-11,2025-05-02,,
CASE000410,CUST000313,ICICI Agro Limited,INV0003125,2025-01-12,142793.56,101,Critical,Escalated,Sanjay Gupta,REP000007,Settlement Offer,2025-02-16,2025-04-22,,
CASE000411,CUST000314,SBI Agro Limited,INV0003134,2025-01-30,2183748.83,84,Critical,In Progress,Kavita Gupta,REP000018,Payment Plan,2025-02-15,2025-05-01,,
CASE000412,CUST000315,TCS Agro Limited,INV0003142,2025-03-08,70069.92,50,Medium,Open,Anil Joshi,REP000045,Standard Follow-up,2025-03-16,2025-04-25,,
CASE000413,CUST000315,TCS Agro Limited,INV0003148,2024-12-15,58426.96,137,Critical,Escalated,Kavita Mishra,REP000038,Settlement Offer,2025-02-25,2025-05-04,,
CASE000414,CUST000318,Hindustan Agro Limited,INV0003171,2025-02-09,330903.21,80,High,Pending Customer,Priya Mishra,REP000031,Intensive Collection,2025-03-18,2025-05-02,,
CASE000415,CUST000318,Hindustan Agro Limited,INV0003173,2025-03-04,578452.40,57,High,Open,Meena Gupta,REP000017,Standard Follow-up,2025-04-03,2025-05-07,,
CASE000416,CUST000318,Hindustan Agro Limited,INV0003177,2025-03-05,289205.76,49,Medium,In Progress,Anil Gupta,REP000005,Standard Follow-up,2025-03-26,2025-04-28,,
CASE000417,CUST000319,Indian Agro Limited,INV0003182,2025-02-05,1969151.17,78,Critical,In Progress,Sunita Gupta,REP000015,Payment Plan,2025-02-07,2025-04-29,,
CASE000418,CUST000319,Indian Agro Limited,INV0003185,2024-12-31,1580700.26,116,Critical,Escalated,Ashok Gupta,REP000010,Legal Action Warning,2025-01-26,2025-04-19,,
CASE000419,CUST000320,Tech Agro Limited,INV0003193,2025-01-23,292348.28,98,Critical,Escalated,Priya Mishra,REP000031,Settlement Offer,2025-03-17,2025-05-09,,
CASE000420,CUST000320,Tech Agro Limited,INV0003197,2025-01-05,252793.84,109,Critical,In Progress,Raj Gupta,REP000001,Settlement Offer,2025-02-04,2025-05-02,,
CASE000421,CUST000321,Tata Resources Limited,INV0003201,2025-01-19,57411.41,97,Critical,Escalated,Geeta Mishra,REP000040,Settlement Offer,2025-04-13,2025-04-19,,
CASE000422,CUST000321,Tata Resources Limited,INV0003202,2025-04-17,16153.97,10,Low,Open,Rani Gupta,REP000014,Standard Follow-up,2025-04-17,2025-05-04,,
CASE000423,CUST000324,Bharti Resources Limited,INV0003232,2024-12-14,111537.87,130,Critical,Escalated,Sunil Gupta,REP000004,Settlement Offer,2025-01-22,2025-04-24,,
CASE000424,CUST000325,HDFC Resources Limited,INV0003241,2025-01-31,52209.41,89,High,Pending Customer,Sunita Mishra,REP000035,Payment Plan,2025-02-06,2025-04-29,,
CASE000425,CUST000325,HDFC Resources Limited,INV0003243,2025-03-06,25997.96,49,Medium,Open,Rahul Gupta,REP000006,Standard Follow-up,2025-03-26,2025-04-30,,
CASE000426,CUST000327,Mahindra Resources Limited,INV0003261,2025-02-18,59118.82,72,High,Open,Amit Joshi,REP000042,Intensive Collection,2025-04-10,2025-04-21,,
CASE000427,CUST000327,Mahindra Resources Limited,INV0003263,2024-12-31,13083.24,113,Critical,In Progress,Geeta Mishra,REP000040,Legal Action Warning,2025-03-04,2025-05-04,,
CASE000428,CUST000327,Mahindra Resources Limited,INV0003266,2025-04-17,77023.71,6,Low,Open,Anil Joshi,REP000045,Standard Follow-up,2025-04-17,2025-04-19,,
CASE000429,CUST000327,Mahindra Resources Limited,INV0003267,2025-01-06,21317.97,115,Critical,In Progress,Raj Joshi,REP000041,Legal Action Warning,2025-01-29,2025-04-21,,
CASE000430,CUST000330,JSW Resources Limited,INV0003293,2025-01-12,173380.14,108,Critical,Pending Customer,Anita Gupta,REP000016,Legal Action Warning,2025-04-17,2025-05-01,,
CASE000431,CUST000331,Godrej Resources Limited,INV0003301,2025-01-11,36508.88,107,Critical,Pending Customer,Neha Mishra,REP000032,Legal Action Warning,2025-03-17,2025-04-29,,
CASE000432,CUST000331,Godrej Resources Limited,INV0003302,2024-12-01,14110.10,143,Critical,Pending Customer,Neha Gupta,REP000012,Legal Action Warning,2025-02-21,2025-04-25,,
CASE000433,CUST000332,L&T Resources Limited,INV0003311,2025-02-04,273347.17,78,High,Open,Raj Gupta,REP000001,Intensive Collection,2025-03-12,2025-05-07,,
CASE000434,CUST000333,ICICI Resources Limited,INV0003327,2025-01-05,271845.75,114,Critical,Escalated,Rajesh Mishra,REP000029,Legal Action Warning,2025-04-07,2025-04-24,,
CASE000435,CUST000334,SBI Resources Limited,INV0003334,2025-04-09,119274.09,17,Medium,Open,Meena Mishra,REP000037,Standard Follow-up,2025-04-14,2025-04-24,,
CASE000436,CUST000335,TCS Resources Limited,INV0003344,2025-01-30,1162604.47,84,Critical,In Progress,Rajesh Joshi,REP000049,Payment Plan,2025-04-04,2025-05-07,,
CASE000437,CUST000338,Hindustan Resources Limited,INV0003371,2025-03-29,480066.84,28,Medium,In Progress,Meena Gupta,REP000017,Standard Follow-up,2025-04-03,2025-04-25,,
CASE000438,CUST000338,Hindustan Resources Limited,INV0003373,2025-01-05,510083.60,113,Critical,Escalated,Rahul Gupta,REP000006,Legal Action Warning,2025-04-12,2025-05-04,,
CASE000439,CUST000340,Tech Resources Limited,INV0003393,2025-02-04,119836.13,84,High,Pending Customer,Rakesh Joshi,REP000048,Intensive Collection,2025-03-22,2025-04-25,,
CASE000440,CUST000340,Tech Resources Limited,INV0003397,2025-01-22,432405.43,96,Critical,Escalated,Rani Mishra,REP000034,Legal Action Warning,2025-03-19,2025-04-20,,
CASE000441,CUST000341,Tata Chemicals Limited,INV0003401,2025-01-26,246013.75,93,Critical,Pending Customer,Ashok Joshi,REP000050,Legal Action Warning,2025-03-02,2025-04-21,,
CASE000442,CUST000341,Tata Chemicals Limited,INV0003402,2025-03-28,427922.64,30,Medium,Open,Priya Gupta,REP000011,Standard Follow-up,2025-04-13,2025-05-08,,
CASE000443,CUST000341,Tata Chemicals Limited,INV0003407,2025-02-03,563474.47,88,High,In Progress,Anita Gupta,REP000016,Intensive Collection,2025-03-24,2025-05-07,,
CASE000444,CUST000341,Tata Chemicals Limited,INV0003408,2025-04-17,525674.33,7,High,Open,Sunil Mishra,REP000024,Standard Follow-up,2025-04-17,2025-04-28,,
CASE000445,CUST000342,Reliance Chemicals Limited,INV0003412,2024-12-23,486484.75,124,Critical,In Progress,Priya Mishra,REP000031,Legal Action Warning,2025-02-13,2025-05-06,,
CASE000447,CUST000342,Reliance Chemicals Limited,INV0003416,2025-02-24,197414.76,65,High,Pending Customer,Shalini Gupta,REP000019,Payment Plan,2025-03-05,2025-04-30,,
CASE000448,CUST000343,Infosys Chemicals Limited,INV0003427,2025-03-25,365471.90,35,Medium,In Progress,Sunita Gupta,REP000015,Standard Follow-up,2025-04-17,2025-05-05,,
CASE000449,CUST000345,HDFC Chemicals Limited,INV0003441,2025-03-27,141676.22,28,Medium,Open,Anil Mishra,REP000025,Standard Follow-up,2025-04-06,2025-04-25,,
CASE000450,CUST000346,Wipro Chemicals Limited,INV0003451,2025-02-22,1125886.66,69,Critical,Pending Customer,Rani Gupta,REP000014,Intensive Collection,2025-04-14,2025-05-06,,
CASE000451,CUST000348,Birla Chemicals Limited,INV0003473,2025-01-01,96361.60,116,Critical,Escalated,Sunita Gupta,REP000015,Settlement Offer,2025-03-18,2025-05-03,,
CASE000452,CUST000349,Adani Chemicals Limited,INV0003482,2025-01-01,28719.95,112,Critical,Pending Customer,Shalini Mishra,REP000039,Legal Action Warning,2025-03-26,2025-04-19,,
CASE000453,CUST000349,Adani Chemicals Limited,INV0003483,2025-02-28,65494.60,59,Medium,Open,Ashok Joshi,REP000050,Standard Follow-up,2025-03-09,2025-05-05,,
CASE000454,CUST000350,JSW Chemicals Limited,INV0003491,2025-02-08,485289.28,83,High,Open,Shalini Gupta,REP000019,Intensive Collection,2025-04-13,2025-04-20,,
CASE000455,CUST000350,JSW Chemicals Limited,INV0003495,2025-01-30,253419.23,87,High,In Progress,Rajesh Mishra,REP000029,Intensive Collection,2025-02-06,2025-05-01,,
CASE000456,CUST000351,Godrej Chemicals Limited,INV0003501,2025-01-31,2231039.98,82,Critical,Open,Anita Gupta,REP000016,Payment Plan,2025-04-03,2025-05-09,,
CASE000457,CUST000351,Godrej Chemicals Limited,INV0003503,2024-12-06,1268619.71,142,Critical,Escalated,Ashok Joshi,REP000050,Settlement Offer,2025-04-12,2025-05-02,,
CASE000458,CUST000351,Godrej Chemicals Limited,INV0003505,2025-01-12,2245871.92,110,Critical,Pending Customer,Rahul Joshi,REP000046,Legal Action Warning,2025-01-14,2025-05-05,,
CASE000459,CUST000352,L&T Chemicals Limited,INV0003511,2024-11-26,410314.07,149,Critical,Escalated,Vijay Mishra,REP000023,Legal Action Warning,2025-01-09,2025-05-07,,
CASE000460,CUST000352,L&T Chemicals Limited,INV0003517,2024-12-18,565860.05,130,Critical,In Progress,Sanjay Gupta,REP000007,Legal Action Warning,2025-01-30,2025-05-03,,
CASE000461,CUST000353,ICICI Chemicals Limited,INV0003521,2025-01-08,314377.40,113,Critical,In Progress,Shalini Gupta,REP000019,Settlement Offer,2025-03-10,2025-05-03,,
CASE000462,CUST000355,TCS Chemicals Limited,INV0003541,2025-04-09,170077.55,14,Medium,In Progress,Raj Gupta,REP000001,Standard Follow-up,2025-04-14,2025-04-26,,
CASE000463,CUST000355,TCS Chemicals Limited,INV0003542,2025-03-26,240374.14,29,Medium,Open,Sanjay Joshi,REP000047,Standard Follow-up,2025-03-26,2025-04-23,,
CASE000464,CUST000356,Bajaj Chemicals Limited,INV0003553,2025-02-02,60823.65,85,High,In Progress,Rakesh Joshi,REP000048,Intensive Collection,2025-03-22,2025-04-23,,
CASE000466,CUST000356,Bajaj Chemicals Limited,INV0003556,2025-02-27,21696.81,55,Medium,In Progress,Rakesh Gupta,REP000008,Standard Follow-up,2025-03-01,2025-04-19,,
CASE000467,CUST000358,Hindustan Chemicals Limited,INV0003574,2024-12-30,99787.29,122,Critical,Escalated,Sunil Mishra,REP000024,Settlement Offer,2025-04-17,2025-05-01,,
CASE000468,CUST000359,Indian Chemicals Limited,INV0003582,2025-01-07,1887174.51,110,Critical,In Progress,Rahul Joshi,REP000046,Legal Action Warning,2025-03-14,2025-04-21,,
