interaction_id,customer_id,customer_name,interaction_date,interaction_type,purpose,summary,initiated_by,handled_by,rep_id,related_invoice,outcome,notes
INT0001272,CUST000128,Birla Textiles Limited,2025-04-09,Meeting,Collection Call,Left voicemail regarding overdue payment,Company,Ashok Gupta,REP000010,INV0001275,Resolved,
INT0001273,CUST000128,Birla Textiles Limited,2024-12-31,Meeting,Collection Call,Discussed payment of overdue invoices,Company,Amit Gupta,REP000002,INV0001275,Pending,
INT0001274,CUST000128,Birla Textiles Limited,2025-01-23,Site Visit,Collection Call,Customer disputed invoice amount,Company,Sanjay Gupta,REP000007,INV0001275,Follow-up Required,
INT0001281,CUST000129,Adani Textiles Limited,2025-03-13,Meeting,Collection Call,Customer confirmed payment has been initiated,Company,Vijay Joshi,REP000043,INV0001288,Follow-up Required,
INT0001282,CUST000129,Adani Textiles Limited,2024-12-15,Call,Collection Call,Explained late payment fees and implications,Company,Shalini Mishra,REP000039,INV0001288,Resolved,
INT0001283,CUST000129,Adani Textiles Limited,2025-03-09,Chat,General Inquiry,Explained invoice details,Company,Pooja Mishra,REP000033,,Pending,
INT0001284,CUST000129,Adani Textiles Limited,2024-12-29,Chat,Payment Confirmation,Reconciled payment with outstanding invoices,Customer,Amit Mishra,REP000022,INV0001288,Follow-up Required,
INT0001285,CUST000129,Adani Textiles Limited,2024-12-31,Site Visit,Collection Call,Arranged payment schedule for overdue amounts,Company,Neha Mishra,REP000032,INV0001286,Resolved,
INT0001286,CUST000129,Adani Textiles Limited,2025-04-07,Meeting,Collection Call,Customer confirmed payment has been initiated,Company,Sunita Gupta,REP000015,INV0001288,Pending,
INT0001287,CUST000129,Adani Textiles Limited,2024-10-19,Chat,Collection Call,Left voicemail regarding overdue payment,Company,Anita Gupta,REP000016,INV0001288,Follow-up Required,
INT0001291,CUST000130,JSW Textiles Limited,2024-10-12,Call,General Inquiry,Shared payment history report,Company,Rahul Joshi,REP000046,,Follow-up Required,
INT0001292,CUST000130,JSW Textiles Limited,2024-12-22,Site Visit,Collection Call,Customer promised payment by next week,Company,Pooja Mishra,REP000033,INV0001292,Resolved,
INT0001293,CUST000130,JSW Textiles Limited,2024-10-16,Meeting,Collection Call,Discussed payment of overdue invoices,Company,Sunil Gupta,REP000004,INV0001292,Pending,
INT0001294,CUST000130,JSW Textiles Limited,2024-10-27,Chat,Collection Call,Explained late payment fees and implications,Company,Amit Joshi,REP000042,INV0001292,Follow-up Required,
INT0001295,CUST000130,JSW Textiles Limited,2025-02-18,Call,Collection Call,Explained late payment fees and implications,Company,Rajesh Gupta,REP000009,INV0001293,Resolved,
INT0001296,CUST000130,JSW Textiles Limited,2024-12-22,Meeting,General Inquiry,Explained invoice details,Company,Rajesh Mishra,REP000029,,Pending,
INT0001297,CUST000130,JSW Textiles Limited,2025-04-03,Video Call,Collection Call,Customer disputed invoice amount,Company,Rani Gupta,REP000014,INV0001292,Follow-up Required,
INT0001298,CUST000130,JSW Textiles Limited,2025-04-14,Video Call,Collection Call,Explained late payment fees and implications,Company,Raj Joshi,REP000041,INV0001292,Resolved,
INT0001301,CUST000131,Godrej Textiles Limited,2024-10-14,Video Call,Collection Call,Customer promised payment by next week,Company,Rahul Joshi,REP000046,INV0001308,Follow-up Required,
INT0001302,CUST000131,Godrej Textiles Limited,2024-11-06,Call,Collection Call,Explained late payment fees and implications,Company,Vijay Mishra,REP000023,INV0001307,Resolved,
INT0001303,CUST000131,Godrej Textiles Limited,2024-10-09,Email,Collection Call,Left voicemail regarding overdue payment,Company,Anil Joshi,REP000045,INV0001307,Pending,
INT0001304,CUST000131,Godrej Textiles Limited,2025-01-19,Chat,Collection Call,Arranged payment schedule for overdue amounts,Company,Sunita Mishra,REP000035,INV0001301,Follow-up Required,
INT0001305,CUST000131,Godrej Textiles Limited,2024-11-16,Call,Collection Call,Customer promised payment by next week,Company,Meena Gupta,REP000017,INV0001301,Resolved,
INT0001306,CUST000131,Godrej Textiles Limited,2024-11-22,Call,Collection Call,Customer promised payment by next week,Company,Sunita Gupta,REP000015,INV0001307,Pending,
INT0001307,CUST000131,Godrej Textiles Limited,2024-10-13,Email,Collection Call,Arranged payment schedule for overdue amounts,Company,Rahul Mishra,REP000026,INV0001308,Follow-up Required,
INT0001308,CUST000131,Godrej Textiles Limited,2025-02-20,Video Call,Collection Call,Escalated to manager due to payment delays,Company,Kavita Mishra,REP000038,INV0001301,Resolved,
INT0001309,CUST000131,Godrej Textiles Limited,2025-02-20,Email,Collection Call,Customer promised payment by next week,Company,Neha Gupta,REP000012,INV0001301,Pending,
INT0001311,CUST000132,L&T Textiles Limited,2025-01-18,Email,Collection Call,Left voicemail regarding overdue payment,Company,Sunita Gupta,REP000015,INV0001312,Follow-up Required,
INT0001312,CUST000132,L&T Textiles Limited,2024-10-22,Chat,Collection Call,Escalated to manager due to payment delays,Company,Amit Gupta,REP000002,INV0001312,Resolved,
INT0001313,CUST000132,L&T Textiles Limited,2025-02-28,Video Call,Payment Confirmation,Updated records with new payment details,Company,Rakesh Gupta,REP000008,INV0001312,Pending,
INT0001314,CUST000132,L&T Textiles Limited,2024-10-07,Email,Collection Call,Customer disputed invoice amount,Company,Amit Mishra,REP000022,INV0001313,Follow-up Required,
INT0001315,CUST000132,L&T Textiles Limited,2025-01-16,Email,Collection Call,Explained late payment fees and implications,Company,Meena Gupta,REP000017,INV0001317,Resolved,
INT0001316,CUST000132,L&T Textiles Limited,2025-02-21,Site Visit,Dispute Resolution,Created credit note for billing error,Company,Sunil Gupta,REP000004,INV0001313,Pending,
INT0001317,CUST000132,L&T Textiles Limited,2024-10-10,Chat,Account Review,Addressed concerns about recent shipments,Company,Amit Gupta,REP000002,,Follow-up Required,
INT0001318,CUST000132,L&T Textiles Limited,2024-12-30,Video Call,Collection Call,Arranged payment schedule for overdue amounts,Company,Kavita Gupta,REP000018,INV0001313,Resolved,
INT0001321,CUST000133,ICICI Textiles Limited,2024-10-19,Call,Account Review,Reviewed credit limit and payment history,Company,Rani Gupta,REP000014,,Follow-up Required,
INT0001322,CUST000133,ICICI Textiles Limited,2024-11-26,Meeting,Payment Confirmation,Reconciled payment with outstanding invoices,Customer,Anil Mishra,REP000025,INV0001323,Resolved,
INT0001331,CUST000134,SBI Textiles Limited,2024-11-07,Video Call,General Inquiry,Shared payment history report,Company,Sunita Mishra,REP000035,,Follow-up Required,
INT0001332,CUST000134,SBI Textiles Limited,2025-03-23,Meeting,Dispute Resolution,Processing refund for returned items,Company,Rakesh Joshi,REP000048,INV0001332,Resolved,
INT0001333,CUST000134,SBI Textiles Limited,2024-10-28,Video Call,Collection Call,Escalated to manager due to payment delays,Company,Anita Gupta,REP000016,INV0001331,Pending,
INT0001334,CUST000134,SBI Textiles Limited,2024-12-18,Site Visit,Account Review,Reviewed credit limit and payment history,Company,Anil Gupta,REP000005,,Follow-up Required,
INT0001335,CUST000134,SBI Textiles Limited,2025-01-25,Chat,Dispute Resolution,Discussed quality issues with recent shipment,Company,Rani Mishra,REP000034,INV0001333,Resolved,
INT0001336,CUST000134,SBI Textiles Limited,2024-10-28,Site Visit,Collection Call,Customer disputed invoice amount,Company,Rajesh Gupta,REP000009,INV0001331,Pending,
INT0001337,CUST000134,SBI Textiles Limited,2025-02-27,Video Call,Collection Call,Customer promised payment by next week,Company,Sanjay Gupta,REP000007,INV0001333,Follow-up Required,
INT0001341,CUST000135,TCS Textiles Limited,2025-01-26,Chat,Collection Call,Arranged payment schedule for overdue amounts,Company,Vijay Mishra,REP000023,INV0001342,Follow-up Required,
INT0001342,CUST000135,TCS Textiles Limited,2025-04-06,Chat,Collection Call,Escalated to manager due to payment delays,Company,Sanjay Joshi,REP000047,INV0001342,Resolved,
INT0001343,CUST000135,TCS Textiles Limited,2025-01-09,Call,General Inquiry,Answered questions about payment methods,Customer,Pooja Mishra,REP000033,,Pending,
INT0001344,CUST000135,TCS Textiles Limited,2025-01-15,Video Call,Collection Call,Discussed payment of overdue invoices,Company,Sunita Gupta,REP000015,INV0001342,Follow-up Required,
INT0001345,CUST000135,TCS Textiles Limited,2025-01-22,Email,General Inquiry,Explained invoice details,Company,Pooja Mishra,REP000033,,Resolved,
INT0001351,CUST000136,Bajaj Textiles Limited,2024-10-12,Meeting,Payment Confirmation,Updated records with new payment details,Company,Raj Gupta,REP000001,INV0001351,Follow-up Required,
INT0001361,CUST000137,HCL Textiles Limited,2025-01-28,Email,Collection Call,Arranged payment schedule for overdue amounts,Company,Raj Joshi,REP000041,INV0001361,Follow-up Required,
INT0001362,CUST000137,HCL Textiles Limited,2024-11-22,Email,General Inquiry,Explained invoice details,Company,Rani Mishra,REP000034,,Resolved,
INT0001363,CUST000137,HCL Textiles Limited,2025-02-09,Site Visit,Collection Call,Customer disputed invoice amount,Company,Meena Mishra,REP000037,INV0001361,Pending,
INT0001364,CUST000137,HCL Textiles Limited,2025-04-05,Call,Collection Call,Customer disputed invoice amount,Company,Meena Gupta,REP000017,INV0001364,Follow-up Required,
INT0001365,CUST000137,HCL Textiles Limited,2024-10-16,Email,Payment Confirmation,Reconciled payment with outstanding invoices,Customer,Raj Gupta,REP000001,INV0001361,Resolved,
INT0001371,CUST000138,Hindustan Textiles Limited,2025-02-16,Video Call,Dispute Resolution,Resolved shipping discrepancy,Company,Ashok Mishra,REP000030,INV0001372,Follow-up Required,
INT0001381,CUST000139,Indian Textiles Limited,2025-02-18,Video Call,Collection Call,Customer promised payment by next week,Company,Rajesh Mishra,REP000029,INV0001383,Follow-up Required,
INT0001382,CUST000139,Indian Textiles Limited,2024-12-23,Chat,Collection Call,Explained late payment fees and implications,Company,Ashok Gupta,REP000010,INV0001383,Resolved,
INT0001383,CUST000139,Indian Textiles Limited,2024-10-16,Call,Collection Call,Customer promised payment by next week,Company,Neha Mishra,REP000032,INV0001381,Pending,
INT0001384,CUST000139,Indian Textiles Limited,2024-10-20,Site Visit,Collection Call,Customer promised payment by next week,Company,Amit Gupta,REP000002,INV0001387,Follow-up Required,
INT0001385,CUST000139,Indian Textiles Limited,2025-01-05,Web Portal,Collection Call,Explained late payment fees and implications,Company,Anil Gupta,REP000005,INV0001381,Resolved,
INT0001386,CUST000139,Indian Textiles Limited,2025-02-26,Chat,Collection Call,Explained late payment fees and implications,Company,Amit Gupta,REP000002,INV0001383,Pending,
INT0001387,CUST000139,Indian Textiles Limited,2024-11-02,Site Visit,Collection Call,Escalated to manager due to payment delays,Company,Vijay Mishra,REP000023,INV0001381,Follow-up Required,
INT0001388,CUST000139,Indian Textiles Limited,2025-03-17,Chat,Collection Call,Customer disputed invoice amount,Company,Rakesh Mishra,REP000028,INV0001387,Resolved,
INT0001389,CUST000139,Indian Textiles Limited,2025-02-03,Chat,Collection Call,Arranged payment schedule for overdue amounts,Company,Vijay Joshi,REP000043,INV0001381,Pending,
INT0001391,CUST000140,Tech Textiles Limited,2025-01-07,Chat,Collection Call,Customer disputed invoice amount,Company,Rajesh Gupta,REP000009,INV0001396,Follow-up Required,
INT0001392,CUST000140,Tech Textiles Limited,2024-12-26,Video Call,General Inquiry,Addressed questions about online portal access,Customer,Meena Mishra,REP000037,,Resolved,
INT0001393,CUST000140,Tech Textiles Limited,2025-02-15,Call,Account Review,Updated customer contact information,Company,Rahul Gupta,REP000006,,Pending,
INT0001394,CUST000140,Tech Textiles Limited,2025-03-27,Chat,Collection Call,Escalated to manager due to payment delays,Company,Sanjay Gupta,REP000007,INV0001392,Follow-up Required,
INT0001395,CUST000140,Tech Textiles Limited,2025-04-02,Video Call,Collection Call,Escalated to manager due to payment delays,Company,Amit Gupta,REP000002,INV0001396,Resolved,
INT0001396,CUST000140,Tech Textiles Limited,2025-02-06,Call,Collection Call,Arranged payment schedule for overdue amounts,Company,Rahul Gupta,REP000006,INV0001392,Pending,
INT0001397,CUST000140,Tech Textiles Limited,2024-11-13,Web Portal,Collection Call,Arranged payment schedule for overdue amounts,Company,Kavita Gupta,REP000018,INV0001392,Follow-up Required,
INT0001401,CUST000141,Tata Pharma Limited,2025-02-04,Site Visit,Account Review,Addressed concerns about recent shipments,Company,Sanjay Gupta,REP000007,,Follow-up Required,
INT0001402,CUST000141,Tata Pharma Limited,2024-12-10,Web Portal,Account Review,Updated customer contact information,Company,Anita Gupta,REP000016,,Resolved,
INT0001403,CUST000141,Tata Pharma Limited,2025-04-06,Site Visit,Collection Call,Left voicemail regarding overdue payment,Company,Amit Mishra,REP000022,INV0001404,Pending,
INT0001404,CUST000141,Tata Pharma Limited,2025-01-08,Chat,Collection Call,Customer confirmed payment has been initiated,Company,Neha Gupta,REP000012,INV0001404,Follow-up Required,
INT0001405,CUST000141,Tata Pharma Limited,2024-10-09,Meeting,Collection Call,Discussed payment of overdue invoices,Company,Anil Gupta,REP000005,INV0001404,Resolved,
INT0001411,CUST000142,Reliance Pharma Limited,2025-03-08,Video Call,Collection Call,Customer confirmed payment has been initiated,Company,Sanjay Mishra,REP000027,INV0001412,Follow-up Required,
INT0001412,CUST000142,Reliance Pharma Limited,2024-12-06,Web Portal,Account Review,Reviewed credit limit and payment history,Company,Amit Gupta,REP000002,,Resolved,
INT0001413,CUST000142,Reliance Pharma Limited,2025-02-03,Call,Collection Call,Escalated to manager due to payment delays,Company,Meena Mishra,REP000037,INV0001412,Pending,
INT0001414,CUST000142,Reliance Pharma Limited,2025-01-25,Site Visit,Payment Confirmation,Updated records with new payment details,Company,Raj Mishra,REP000021,INV0001414,Follow-up Required,
INT0001421,CUST000143,Infosys Pharma Limited,2024-11-20,Chat,Dispute Resolution,Created credit note for billing error,Customer,Anita Gupta,REP000016,INV0001423,Follow-up Required,
INT0001422,CUST000143,Infosys Pharma Limited,2025-01-27,Call,Collection Call,Customer disputed invoice amount,Company,Rajesh Joshi,REP000049,INV0001422,Resolved,
INT0001423,CUST000143,Infosys Pharma Limited,2024-11-06,Site Visit,Collection Call,Left voicemail regarding overdue payment,Company,Sanjay Joshi,REP000047,INV0001422,Pending,
INT0001431,CUST000144,Bharti Pharma Limited,2024-10-02,Video Call,Collection Call,Arranged payment schedule for overdue amounts,Company,Rani Gupta,REP000014,INV0001435,Follow-up Required,
INT0001432,CUST000144,Bharti Pharma Limited,2025-04-07,Site Visit,Collection Call,Left voicemail regarding overdue payment,Company,Kavita Mishra,REP000038,INV0001432,Resolved,
INT0001433,CUST000144,Bharti Pharma Limited,2024-12-11,Video Call,Collection Call,Customer disputed invoice amount,Company,Sunil Mishra,REP000024,INV0001435,Pending,
INT0001434,CUST000144,Bharti Pharma Limited,2024-12-27,Web Portal,Dispute Resolution,Clarified invoice line items,Customer,Shalini Gupta,REP000019,INV0001436,Follow-up Required,
INT0001435,CUST000144,Bharti Pharma Limited,2025-01-03,Call,Collection Call,Escalated to manager due to payment delays,Company,Sunil Gupta,REP000004,INV0001435,Resolved,
INT0001436,CUST000144,Bharti Pharma Limited,2025-01-21,Chat,Collection Call,Discussed payment of overdue invoices,Company,Vijay Gupta,REP000003,INV0001432,Pending,
INT0001441,CUST000145,HDFC Pharma Limited,2024-10-23,Chat,Payment Confirmation,Resolved payment allocation discrepancy,Company,Anil Joshi,REP000045,INV0001447,Follow-up Required,
INT0001442,CUST000145,HDFC Pharma Limited,2024-12-31,Call,Collection Call,Customer confirmed payment has been initiated,Company,Sunita Mishra,REP000035,INV0001447,Resolved,
INT0001443,CUST000145,HDFC Pharma Limited,2024-11-01,Video Call,Collection Call,Customer disputed invoice amount,Company,Sunil Mishra,REP000024,INV0001447,Pending,
INT0001444,CUST000145,HDFC Pharma Limited,2024-10-11,Meeting,Account Review,Quarterly account review meeting,Company,Rakesh Mishra,REP000028,,Follow-up Required,
INT0001445,CUST000145,HDFC Pharma Limited,2024-10-25,Chat,Collection Call,Customer confirmed payment has been initiated,Company,Ashok Gupta,REP000010,INV0001445,Resolved,
INT0001446,CUST000145,HDFC Pharma Limited,2025-02-14,Site Visit,Payment Confirmation,Received confirmation of payment transfer,Company,Sanjay Mishra,REP000027,INV0001446,Pending,
INT0001447,CUST000145,HDFC Pharma Limited,2025-01-31,Call,Collection Call,Explained late payment fees and implications,Company,Anil Joshi,REP000045,INV0001445,Follow-up Required,
INT0001451,CUST000146,Wipro Pharma Limited,2025-04-16,Site Visit,Collection Call,Escalated to manager due to payment delays,Company,Priya Mishra,REP000031,INV0001451,Follow-up Required,
INT0001452,CUST000146,Wipro Pharma Limited,2025-04-03,Call,Payment Confirmation,Updated records with new payment details,Company,Ashok Mishra,REP000030,INV0001452,Resolved,
INT0001453,CUST000146,Wipro Pharma Limited,2025-01-19,Meeting,Collection Call,Customer disputed invoice amount,Company,Sunita Mishra,REP000035,INV0001451,Pending,
INT0001454,CUST000146,Wipro Pharma Limited,2024-12-21,Site Visit,Collection Call,Explained late payment fees and implications,Company,Rakesh Joshi,REP000048,INV0001451,Follow-up Required,
INT0001455,CUST000146,Wipro Pharma Limited,2024-11-17,Email,Account Review,Negotiated new payment terms,Company,Rahul Joshi,REP000046,,Resolved,
INT0001461,CUST000147,Mahindra Pharma Limited,2025-03-23,Video Call,Collection Call,Customer disputed invoice amount,Company,Sunil Mishra,REP000024,INV0001463,Follow-up Required,
INT0001462,CUST000147,Mahindra Pharma Limited,2025-01-09,Call,Collection Call,Customer promised payment by next week,Company,Neha Gupta,REP000012,INV0001463,Resolved,
INT0001463,CUST000147,Mahindra Pharma Limited,2025-02-05,Site Visit,Collection Call,Arranged payment schedule for overdue amounts,Company,Meena Gupta,REP000017,INV0001463,Pending,
INT0001464,CUST000147,Mahindra Pharma Limited,2025-04-11,Site Visit,Account Review,Quarterly account review meeting,Company,Ashok Mishra,REP000030,,Follow-up Required,
INT0001471,CUST000148,Birla Pharma Limited,2025-03-19,Email,Payment Confirmation,Updated records with new payment details,Company,Raj Mishra,REP000021,INV0001475,Follow-up Required,
INT0001472,CUST000148,Birla Pharma Limited,2025-01-27,Video Call,Dispute Resolution,Discussed quality issues with recent shipment,Customer,Meena Gupta,REP000017,INV0001473,Resolved,
INT0001473,CUST000148,Birla Pharma Limited,2025-03-21,Site Visit,General Inquiry,Provided account balance information,Company,Shalini Mishra,REP000039,,Pending,
INT0001481,CUST000149,Adani Pharma Limited,2024-12-23,Video Call,Payment Confirmation,Reconciled payment with outstanding invoices,Customer,Rajesh Joshi,REP000049,INV0001481,Follow-up Required,
INT0001482,CUST000149,Adani Pharma Limited,2024-11-23,Meeting,Collection Call,Arranged payment schedule for overdue amounts,Company,Geeta Gupta,REP000020,INV0001481,Resolved,
INT0001483,CUST000149,Adani Pharma Limited,2024-12-04,Meeting,Collection Call,Customer promised payment by next week,Company,Raj Gupta,REP000001,INV0001482,Pending,
INT0001484,CUST000149,Adani Pharma Limited,2025-03-09,Web Portal,General Inquiry,Explained invoice details,Company,Rahul Gupta,REP000006,,Follow-up Required,
INT0001485,CUST000149,Adani Pharma Limited,2025-01-13,Video Call,Dispute Resolution,Created credit note for billing error,Customer,Sanjay Gupta,REP000007,INV0001481,Resolved,
INT0001486,CUST000149,Adani Pharma Limited,2025-02-24,Email,Collection Call,Customer disputed invoice amount,Company,Geeta Gupta,REP000020,INV0001481,Pending,
INT0001487,CUST000149,Adani Pharma Limited,2025-04-04,Web Portal,Collection Call,Explained late payment fees and implications,Company,Sanjay Mishra,REP000027,INV0001482,Follow-up Required,
INT0001491,CUST000150,JSW Pharma Limited,2024-12-21,Call,Dispute Resolution,Clarified invoice line items,Company,Sanjay Joshi,REP000047,INV0001491,Follow-up Required,
INT0001492,CUST000150,JSW Pharma Limited,2024-12-24,Site Visit,Payment Confirmation,Verified payment receipt for invoice,Customer,Amit Gupta,REP000002,INV0001492,Resolved,
INT0001501,CUST000151,Godrej Pharma Limited,2024-11-22,Chat,Dispute Resolution,Customer reported incorrect billing,Company,Rahul Mishra,REP000026,INV0001504,Follow-up Required,
INT0001502,CUST000151,Godrej Pharma Limited,2024-10-13,Chat,Dispute Resolution,Discussed quality issues with recent shipment,Company,Kavita Mishra,REP000038,INV0001504,Resolved,
INT0001503,CUST000151,Godrej Pharma Limited,2024-12-03,Meeting,Collection Call,Explained late payment fees and implications,Company,Sanjay Gupta,REP000007,INV0001501,Pending,
INT0001504,CUST000151,Godrej Pharma Limited,2024-10-20,Video Call,Collection Call,Left voicemail regarding overdue payment,Company,Rahul Joshi,REP000046,INV0001501,Follow-up Required,
INT0001505,CUST000151,Godrej Pharma Limited,2024-11-20,Site Visit,Collection Call,Customer promised payment by next week,Company,Ashok Mishra,REP000030,INV0001501,Resolved,
INT0001511,CUST000152,L&T Pharma Limited,2025-03-03,Meeting,Collection Call,Customer promised payment by next week,Company,Pooja Mishra,REP000033,INV0001515,Follow-up Required,
INT0001512,CUST000152,L&T Pharma Limited,2024-11-26,Chat,Collection Call,Explained late payment fees and implications,Company,Anil Gupta,REP000005,INV0001515,Resolved,
INT0001513,CUST000152,L&T Pharma Limited,2024-11-08,Email,Collection Call,Discussed payment of overdue invoices,Company,Vijay Gupta,REP000003,INV0001515,Pending,
INT0001514,CUST000152,L&T Pharma Limited,2025-02-20,Chat,Collection Call,Arranged payment schedule for overdue amounts,Company,Neha Gupta,REP000012,INV0001515,Follow-up Required,
INT0001515,CUST000152,L&T Pharma Limited,2025-03-15,Call,Collection Call,Discussed payment of overdue invoices,Company,Rakesh Joshi,REP000048,INV0001515,Resolved,
INT0001521,CUST000153,ICICI Pharma Limited,2024-10-16,Video Call,Payment Confirmation,Resolved payment allocation discrepancy,Company,Anil Mishra,REP000025,INV0001524,Follow-up Required,
INT0001522,CUST000153,ICICI Pharma Limited,2024-11-14,Web Portal,Account Review,Negotiated new payment terms,Company,Sanjay Mishra,REP000027,,Resolved,
INT0001523,CUST000153,ICICI Pharma Limited,2024-12-02,Site Visit,Collection Call,Explained late payment fees and implications,Company,Vijay Joshi,REP000043,INV0001523,Pending,
INT0001524,CUST000153,ICICI Pharma Limited,2024-11-19,Video Call,Collection Call,Customer confirmed payment has been initiated,Company,Meena Mishra,REP000037,INV0001524,Follow-up Required,
INT0001525,CUST000153,ICICI Pharma Limited,2025-01-23,Meeting,Collection Call,Customer disputed invoice amount,Company,Priya Mishra,REP000031,INV0001525,Resolved,
INT0001526,CUST000153,ICICI Pharma Limited,2025-02-18,Web Portal,Collection Call,Left voicemail regarding overdue payment,Company,Anil Joshi,REP000045,INV0001523,Pending,
INT0001527,CUST000153,ICICI Pharma Limited,2024-11-21,Meeting,Collection Call,Arranged payment schedule for overdue amounts,Company,Sanjay Joshi,REP000047,INV0001525,Follow-up Required,
INT0001528,CUST000153,ICICI Pharma Limited,2025-04-04,Site Visit,Collection Call,Escalated to manager due to payment delays,Company,Rani Gupta,REP000014,INV0001525,Resolved,
INT0001529,CUST000153,ICICI Pharma Limited,2024-12-07,Call,Payment Confirmation,Reconciled payment with outstanding invoices,Company,Sunil Gupta,REP000004,INV0001526,Pending,
INT0001531,CUST000154,SBI Pharma Limited,2025-03-29,Site Visit,General Inquiry,Addressed questions about online portal access,Company,Anita Mishra,REP000036,,Follow-up Required,
INT0001532,CUST000154,SBI Pharma Limited,2025-04-13,Web Portal,Dispute Resolution,Customer reported incorrect billing,Company,Neha Mishra,REP000032,INV0001532,Resolved,
INT0001541,CUST000155,TCS Pharma Limited,2025-03-11,Chat,Payment Confirmation,Confirmed check has been processed,Company,Ashok Joshi,REP000050,INV0001541,Follow-up Required,
INT0001551,CUST000156,Bajaj Pharma Limited,2024-10-02,Web Portal,Collection Call,Explained late payment fees and implications,Company,Kavita Gupta,REP000018,INV0001553,Follow-up Required,
INT0001552,CUST000156,Bajaj Pharma Limited,2025-04-13,Meeting,Payment Confirmation,Resolved payment allocation discrepancy,Company,Sanjay Joshi,REP000047,INV0001552,Resolved,
INT0001553,CUST000156,Bajaj Pharma Limited,2025-03-04,Site Visit,Payment Confirmation,Updated records with new payment details,Company,Sanjay Mishra,REP000027,INV0001553,Pending,
INT0001554,CUST000156,Bajaj Pharma Limited,2024-12-05,Meeting,Collection Call,Customer confirmed payment has been initiated,Company,Pooja Gupta,REP000013,INV0001553,Follow-up Required,
INT0001561,CUST000157,HCL Pharma Limited,2024-10-12,Email,Payment Confirmation,Confirmed check has been processed,Company,Amit Mishra,REP000022,INV0001562,Follow-up Required,
INT0001562,CUST000157,HCL Pharma Limited,2025-03-03,Chat,Collection Call,Customer disputed invoice amount,Company,Sunil Mishra,REP000024,INV0001563,Resolved,
INT0001563,CUST000157,HCL Pharma Limited,2024-11-29,Email,Dispute Resolution,Discussed quality issues with recent shipment,Company,Geeta Gupta,REP000020,INV0001561,Pending,
INT0001571,CUST000158,Hindustan Pharma Limited,2024-12-26,Site Visit,Collection Call,Explained late payment fees and implications,Company,Sunil Gupta,REP000004,INV0001572,Follow-up Required,
INT0001572,CUST000158,Hindustan Pharma Limited,2025-03-05,Email,General Inquiry,Addressed questions about online portal access,Company,Rajesh Joshi,REP000049,,Resolved,
INT0001573,CUST000158,Hindustan Pharma Limited,2025-01-19,Site Visit,Collection Call,Explained late payment fees and implications,Company,Shalini Mishra,REP000039,INV0001572,Pending,
INT0001574,CUST000158,Hindustan Pharma Limited,2025-01-14,Site Visit,Collection Call,Arranged payment schedule for overdue amounts,Company,Vijay Mishra,REP000023,INV0001572,Follow-up Required,
INT0001575,CUST000158,Hindustan Pharma Limited,2024-12-08,Meeting,Account Review,Quarterly account review meeting,Company,Sunil Joshi,REP000044,,Resolved,
INT0001581,CUST000159,Indian Pharma Limited,2024-11-22,Email,Collection Call,Left voicemail regarding overdue payment,Company,Amit Joshi,REP000042,INV0001582,Follow-up Required,
INT0001582,CUST000159,Indian Pharma Limited,2025-01-11,Email,Collection Call,Left voicemail regarding overdue payment,Company,Ashok Mishra,REP000030,INV0001585,Resolved,
INT0001583,CUST000159,Indian Pharma Limited,2025-01-28,Web Portal,Collection Call,Customer disputed invoice amount,Company,Shalini Gupta,REP000019,INV0001586,Pending,
INT0001584,CUST000159,Indian Pharma Limited,2024-11-11,Video Call,Collection Call,Discussed payment of overdue invoices,Company,Vijay Mishra,REP000023,INV0001586,Follow-up Required,
INT0001585,CUST000159,Indian Pharma Limited,2024-11-27,Chat,Collection Call,Customer disputed invoice amount,Company,Sunil Mishra,REP000024,INV0001585,Resolved,
INT0001586,CUST000159,Indian Pharma Limited,2025-02-27,Call,Collection Call,Customer disputed invoice amount,Company,Amit Joshi,REP000042,INV0001585,Pending,
INT0001587,CUST000159,Indian Pharma Limited,2025-03-23,Chat,Collection Call,Escalated to manager due to payment delays,Company,Pooja Gupta,REP000013,INV0001586,Follow-up Required,
INT0001588,CUST000159,Indian Pharma Limited,2025-03-17,Meeting,Dispute Resolution,Processing refund for returned items,Company,Anil Joshi,REP000045,INV0001585,Resolved,
INT0001589,CUST000159,Indian Pharma Limited,2024-12-12,Call,Collection Call,Customer confirmed payment has been initiated,Company,Ashok Joshi,REP000050,INV0001585,Pending,
INT0001591,CUST000160,Tech Pharma Limited,2024-11-24,Chat,Collection Call,Escalated to manager due to payment delays,Company,Meena Gupta,REP000017,INV0001596,Follow-up Required,
INT0001592,CUST000160,Tech Pharma Limited,2025-02-11,Email,Collection Call,Escalated to manager due to payment delays,Company,Rajesh Mishra,REP000029,INV0001596,Resolved,
INT0001593,CUST000160,Tech Pharma Limited,2025-04-10,Call,Collection Call,Customer disputed invoice amount,Company,Sunita Gupta,REP000015,INV0001596,Pending,
INT0001594,CUST000160,Tech Pharma Limited,2025-01-06,Meeting,Payment Confirmation,Updated records with new payment details,Company,Priya Gupta,REP000011,INV0001594,Follow-up Required,
INT0001595,CUST000160,Tech Pharma Limited,2024-11-20,Email,Collection Call,Explained late payment fees and implications,Company,Amit Joshi,REP000042,INV0001596,Resolved,
